"description","record_count","total_passengers","origin_airport_dot_id","origin_airport_iata","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_WAC","airport_type","latitude","longitude","iso_country","municipality","iso_region","gps_code","local_code","continent","elevation_feet"
"Brest, France: Brest Bretagne",2,426,10550,"BES","Brest, France","",427,"medium_airport",48.4478988647461,-4.41854000091553,"FR","Brest/Guipavas","FR-E","LFRB","","EU",325
"Natal, Brazil: Augusto Severo International",1,418,13606,"NAT","Natal, Brazil","",316,"medium_airport",-5.91141986847,-35.2476997375,"BR","Natal","BR-RN","SBNT","","SA",169
"Columbus, IN: Columbus Municipal",206,417,11058,"CLU","Columbus, IN","IN",42,"medium_airport",39.2619018555,-85.8963012695,"US","Columbus","US-IN","KBAK","BAK","NA",656
"Granite Mountain, AK: Granite Mountain AS",147,414,11946,"GMT","Granite Mountain, AK","AK",1,"small_airport",65.40209961,-161.2810059,"US","Granite Mountain","US-AK","PAGZ","GSZ","NA",1313
"Hydaburg, AK: Hydaburg Seaplane Base",495,411,12252,"HYG","Hydaburg, AK","AK",1,"seaplane_base",55.206298828125,-132.828002929688,"US","Hydaburg","US-AK","PAHY","HYG","NA",""
"Toronto, Canada: Buttonville Municipal",29,409,16106,"YKZ","Toronto, Canada","ON",936,"medium_airport",43.8622016906738,-79.370002746582,"CA","Toronto","CA-ON","CYKZ","","NA",650
"Kushiro, Japan: Kushiro Airport",2,403,12829,"KUH","Kushiro, Japan","",736,"medium_airport",43.0410003662,144.192993164,"JP","Kushiro","JP-01","RJCK","","AS",327
"Nyac, AK: Nyac Airport",258,401,16311,"ZNC","Nyac, AK","AK",1,"small_airport",60.9807014465,-159.994003296,"US","Nyac","US-AK","ZNC","ZNC","NA",460
"Grande Prairie, Canada: Grande Prairie Airport",5,399,16175,"YQU","Grande Prairie, Canada","AB",916,"medium_airport",55.1796989441,-118.885002136,"CA","Grande Prairie","CA-AB","CYQU","","NA",2195
"Ivanovo, Russia: Ivanovo Airport",2,397,12411,"IWA","Ivanovo, Russia","",475,"medium_airport",56.9393997192383,40.9407997131348,"RU","Ivanovo","RU-IVA","UUBI","","EU",410
"Varadero, Cuba: Juan Gualberto Gomez International",4,397,15627,"VRA","Varadero, Cuba","",219,"large_airport",23.0344009399414,-81.435302734375,"CU","Varadero","CU-04","MUVR","","NA",210
"Wasilla, AK: Wasilla Airport",11,394,15881,"WWA","Wasilla, AK","AK",1,"medium_airport",61.5717010498,-149.539993286,"US","Wasilla","US-AK","PAWS","IYS","NA",354
"Pittsburgh, PA: Allegheny County",30,383,10198,"AGC","Pittsburgh, PA","PA",23,"medium_airport",40.3544006347656,-79.9301986694336,"US","Pittsburgh","US-PA","KAGC","AGC","NA",1252
"Amook Bay, AK: Amook Bay Airport",296,380,10324,"AOS","Amook Bay, AK","AK",1,"seaplane_base",57.4715003967,-153.815002441,"US","Amook Bay","US-AK","AK81","AK81","NA",""
"Saguenay, Canada: Bagotville",7,372,16004,"YBG","Saguenay, Canada","QC",941,"medium_airport",48.3306007385254,-70.9963989257812,"CA","Bagotville","CA-QC","CYBG","","NA",522
"Aurora, CO: Buckley AFB",10,371,10560,"BFK","Aurora, CO","CO",82,"medium_airport",39.7016983032,-104.751998901,"US","Aurora","US-CO","KBKF","BKF","NA",5662
"Malta, Malta: Luqa International",13,357,13359,"MLA","Malta, Malta","",456,"large_airport",35.857498,14.4775,"MT","Luqa","MT-25","LMML","","EU",300
"Candle, AK: Candle 2",164,351,10923,"CDL","Candle, AK","AK",1,"small_airport",65.907699585,-161.925994873,"US","Candle","US-AK","AK75","AK75","NA",15
"Lonely, AK: Lonely AS",85,339,13028,"LNI","Lonely, AK","AK",1,"small_airport",70.91069794,-153.2420044,"US","Lonely","US-AK","PALN","AK71","NA",17
"Vava'u, Tonga: Vava'u International",15,326,15559,"VAV","Vava'u, Tonga","",881,"medium_airport",-18.5853004455566,-173.962005615234,"TO","Vava'u Island","TO-05","NFTV","","OC",236
"Atlanta, GA: Dekalb Peachtree",85,325,14050,"PDK","Atlanta, GA","GA",34,"medium_airport",33.8755989075,-84.3020019531,"US","Atlanta","US-GA","KPDK","PDK","NA",1003
"Oshkosh, WI: Wittman Regional",26,304,13949,"OSH","Oshkosh, WI","WI",45,"medium_airport",43.9844017028809,-88.556999206543,"US","Oshkosh","US-WI","KOSH","OSH","NA",808
"Wake Island, TT: Wake Island Airfield",6,299,10439,"AWK","Wake Island, TT","TT",5,"medium_airport",19.2821006774902,166.636001586914,"UM","Wake Island","UM-79","PWAK","AWK","OC",14
"Kosrae, Federated States of Micronesia: Kosrae Airport",4,296,12798,"KSA","Kosrae, Federated States of Micronesia","",810,"medium_airport",5.35697984695,162.957992554,"FM","Okat","FM-KSA","PTSA","TTK","OC",11
